DriverID,DriverFirst,DriverLast,SSN,DOB,StartDate,EndDate,Address,City,State,Zip,Phone,Cell,MileageRate,Review,DrivingRecord
1,Jerry,Lo,124002465,09/12/86,1/22/14,6/15/14,600 East 22nd Street,Jackson Hole,WY,83001,3076435512,3075745444,0.35,null,A
2,John,Samson,725461340,12/16/84,11/22/15,null,9708 Manchaca Road,Spokane,WA,99213,5095422212,5095741115,0.3,5/20/15,A
3,Virginia,Spichalla,728224333,10/24/86,10/21/14,null,2120 53rd Street SW,Seattle,WA,98102,2067415132,2064571544,0.35,8/16/14,B
4,Jonathan,Nabinger,901543211,2/14/95,09/12/13,null,11215 87th Avenue NE,Seattle,WA,98103,2065431542,2064852461,0.35,01/05/13,C
7,Byron,Snowden,321560000,8/14/93,6/14/08,null,300 Promontory Drive,Portland,OR,97204,5034514541,5034875544,0.35,6/15/08,C
8,Cindy,Solquim,915424687,10/06/85,3/14/06,null,755 Cherry Valley Drive,Jackson Hole,WY,83002,3075712241,3078974541,0.4,10/01/07,A
9,Manuel,Able,987352000,11/24/95,04/05/11,null,3010 W Anderson Lane,Portland,OR,97201,5032121574,5034571544,0.4,11/01/12,B
10,Jackie,Condon,953102431,7/30/96,10/15/09,null,620 East Empire Street,Spokane,WA,99216,5097415741,5097842456,0.45,2/15/09,A
11,Ned,Vandre,908754641,04/05/97,09/10/16,3/22/17,10611 Freidrich Lane SW,Seattle,WA,98116,2062487468,2068745441,0.45,10/29/16,A
12,Nathan,Lindsey,983567899,12/31/96,2/24/16,null,861 Loop 337 E,Portland,OR,97207,5034571541,5037877771,0.5,03/01/16,A
13,John,O'Reilly,724135755,07/04/84,1/29/15,null,2520 Longview Drive E,Seattle,WA,98127,2065741241,2063127489,0.5,3/15/15,A
14,Charles,Mahata,267544,03/01/91,1/29/12,null,101 Shady Lane,Jackson Hole,WY,83004,3079856455,3078973544,0.5,11/15/12,A
15,Victor,Strong,721246721,4/24/92,8/14/14,null,5421 Bee Cave Road,Spokane,WA,99216,5096451354,5095473123,0.4,10/15/14,A
16,Robert,Avalon,704246572,04/10/84,10/29/14,null,35741 Steck Avenue #498,Seattle,WA,98108,2064783457,2064354132,0.35,10/15/14,B
17,Abbie,Reingold,724354544,6/21/87,11/24/13,02/02/13,623 South Hampton Way,Portland,OR,97204,5035497241,5063789855,0.3,12/10/13,D
18,Luke,Smith,701234900,9/28/87,6/14/10,null,1322 Buckeye Trail NW,Portland,OR,97207,5035716575,5039785432,0.4,6/15/10,C
19,Alberto,Nicholson,703264978,5/30/89,12/23/14,null,707 W 21st Street #68,Portland,OR,97215,5035853589,5037897124,0.35,1/15/14,A
20,Roy,Nesson,705364444,12/12/89,02/03/14,null,105 Gattis School Road,Seattle,WA,99217,2064873245,2067741445,0.45,09/10/14,B
21,Turner,Donaldson,812450000,10/14/88,6/30/15,null,277 Woodway Drive,Jackson Hole,WY,83010,3075713575,3078645732,0.4,09/01/15,B
22,Dawson,Minton,709531277,6/20/87,7/15/15,null,780 North Loop #298,Seattle,WA,99217,2068745765,2067843541,0.35,01/04/15,A
