EmpID,EmpFirst,EmpLast,WarehouseID,SSN,DOB,StartDate,EndDate,Address,City,State,Zip,PositionID,Memo,Phone,Cell,Salary,HourlyRate,Review
1,David,Bowers,WA-1,154003785,12/09/85,22/01/98,,10124 Metropolitan Drive,Seattle,WA,98117,1,,2062465132,2065754321,"72,000.00",null,
2,Robert,Iko,WA-1,705246513,16/12/94,15/12/06,,698 Round Mountain,Seattle,WA,98124,7,,2065472315,2064875312,"59,500.00",null,15/06/07
3,Virginia,Sanchez,WA-1,724568132,24/10/88,10/06/04,,201 River Road,Spokane,WA,99215,2,Emergency contact for alarm company,5093451687,5096348732,"48,500.00",null,15/12/07
4,Eric,Behrens,WY-1,956346120,14/02/95,12/09/05,15/02/06,21 Adrian Way,Jackson Hole,WY,83005,3,,3075461272,3075763154,null,12.5,
7,Brian,Castillo,OR-1,923546124,14/08/90,14/06/01,,52 Denton Drive #49,Portland,OR,97205,3,,5035742742,5035647154,null,12.75,14/06/08
8,Cynthia,Cox,OR-1,854230000,06/10/85,30/12/06,,1515 Patterson Road,Portland,OR,97210,2,,5032412423,5035496113,"50,000.00",null,30/06/07
9,John,Maestas,WA-1,487002468,24/11/95,15/11/01,,5506 Beach Street West,Spokane,WA,99216,4,Speaks fluent Spanish,5096741543,5093782312,"42,500.00",null,01/11/07
10,Mark,Cumberland,OR-1,705435126,30/07/96,01/10/02,15/03/06,16542 Angus Road #280,Portland,OR,97206,6,,5032486453,5032786424,null,12.25,
11,Darnell,Colmenero,WA-1,723549785,05/04/97,02/09/02,,6000 Balcones Drive,Seattle,WA,98113,3,,2063475354,2063547215,null,15,15/09/08
12,James,Lu,WY-1,709564321,31/12/99,24/02/05,,5003 Mallard Avenue #587,Jackson Hole,WY,83001,2,Speaks fluent Chinese,3076784513,3072468732,"48,500.00",null,24/02/07
13,Barry,Orosco,WA-1,723246875,04/07/89,21/03/06,15/05/06,2001 Kenosha Pass,Spokane,WA,99216,5,,5093451357,5093575166,null,9.75,
14,Richard,Hargadon,WA-1,984651372,01/03/91,15/07/06,,901 Great Oaks Cove,Seattle,WA,98154,6,,2063547987,2063541287,null,10.5,15/08/07
15,John,Nader,WY-1,905346755,24/04/92,01/08/01,,321 Sturgis,Jackson Hole,WY,83001,3,,3075467135,3072468731,null,11.25,01/08/08
16,George,Medrano,WA-1,546570000,10/04/94,15/10/06,,3987 NW 87th Street #8,Seattle,WA,98124,6,,2063412024,2063241200,null,11.25,15/10/08
17,Rachel,Goodman,OR-1,978451342,21/06/97,03/11/04,,9876 Parker Street,Portland,OR,97204,5,On maternity leave through 12/2008,5032415756,5032175613,null,12.75,15/01/08
18,Shayla,Anderson,WA-1,926543210,28/09/88,24/09/03,,4321 Barton Cliff Drive,Seattle,WA,98124,6,,2063214571,2063218756,null,12.5,15/09/08
19,Alfonso,Ozmun,WA-1,946532100,30/05/90,15/06/05,,510 Immanuel Avenue,Seattle,WA,98126,5,,2063124024,2062497513,null,12,28/02/08
20,Sophia,Nunis,WA-1,987451372,12/12/89,20/10/06,,5471 Wyoming Springs Way,Spokane,WA,99214,6,,5093478992,5098973246,null,12,15/01/08
21,Dora,Nettles,WA-1,723246512,14/10/88,21/10/02,,24 Frontier Trail NE,Seattle,WA,98123,3,,2067546512,2065795462,null,14.75,15/02/08
22,Kristina,Romano,WA-1,704513547,20/06/97,20/05/01,,8 Anderson Loop,Seattle,WA,98113,4,,2062449876,2062748648,"45,000.00",null,01/05/08
23,Doug,Hearne,OR-1,722154321,21/05/82,15/01/04,,11 Lost Pine Trail,Portland,OR,97204,6,,5032462465,5037654354,null,12.75,15/01/08
24,Tom,Murphy,OR-1,701543216,05/06/77,16/02/04,,4007 James White Avenue,Portland,OR,97214,6,,5032471355,5037543257,null,13,15/03/08
25,Felicia,Castro,OR-1,724216452,14/09/80,16/03/05,,611 Montclaire Street,Portland,OR,97226,6,,5037543871,5034757135,null,12.5,15/03/08
26,Gene,Chiles,OR-1,954321642,05/07/82,01/03/04,,2506 Ferguson Lane #411,Portland,OR,97215,6,,5032798246,5032467835,null,12.5,01/03/08
27,Kirby,Meyer,OR-1,984651357,12/11/80,31/05/05,,110 Ponderosa,Portland,OR,97209,4,,5032716579,5032795132,"42,500.00",null,15/12/07
28,Jim,Bostic,OR-1,454006543,12/12/79,06/07/05,,1201 Chestnut Avenue #2,Portland,OR,97211,6,,5032715496,5032164573,null,11.75,01/07/08
29,Leland,McKeeman,WY-1,963124672,01/11/78,25/09/04,,79513 Airport Blvd,Jackson Hole,WY,83005,3,,3072462135,3072462465,null,14.5,01/09/08
30,Wade,Ragland,WY-1,706324675,01/03/80,25/09/04,,9714 Circle Drive,Jackson Hole,WY,83005,4,,3072749264,3072243241,"43,500.00",null,01/09/08
31,Cynthia,Zucker,WY-1,705315790,22/08/67,22/06/01,,304 Ridgewood Drive #1,Jackson Hole,WY,83002,6,,3075556432,3072465796,null,11.5,01/06/07
32,Lisa,Virr,WY-1,421001579,28/11/80,16/11/06,,10086 Wells Parkway,Jackson Hole,WY,83010,5,,3072746313,3072154324,null,11.5,15/11/07
33,Shane,Pichardo,WY-1,987465137,14/12/83,29/01/06,,8301 Alvin High Blvd,Jackson Hole,WY,83011,6,,3075553216,3072468763,null,11.5,15/01/07
34,Richard,Pena,WY-1,716543272,24/02/81,26/04/06,,5713 Mystic Street,Jackson Hole,WY,83012,6,,3072456876,3072132762,null,11.75,25/11/07
35,Jason,Collins,WY-1,722165711,14/10/80,01/08/05,,10275 Sam Bass Road,Jackson Hole,WY,83012,6,,3072623546,3072664533,null,11.85,01/08/07
